,ShirtNumber,PlayerName,Team,Blocks,Errors,Rebounds,AveragePerMatch,Efficiency%,TotalAttempts
0,18,Gunes Zehra,TUR,29,35,56,4.83,-5.0,120
1,15,Da Silva Ana Carolina,BRA,23,49,39,2.88,-23.42,111
2,2,De Oliveira Saad Gattaz Caroline,BRA,22,35,55,2.75,-11.61,112
3,16,Akinradewo Foluke,USA,21,32,34,2.62,-12.64,87
4,6,Koroleva Irina,ROC,20,29,41,3.33,-10.0,90
5,22,Washington Haleigh,USA,20,33,42,2.5,-13.68,95
6,14,Yang Hyo Jin,KOR,20,38,42,2.5,-18.0,100
7,5,Popovic Mina,SRB,18,35,42,2.25,-17.89,95
8,14,Erdem Dündar Eda,TUR,18,30,48,3.0,-12.5,96
9,14,Fetisova Irina,ROC,17,30,32,2.83,-16.46,79
10,16,Rasic Milena,SRB,17,18,20,2.12,-1.82,55
11,21,Martinez Jineiry,DOM,16,15,34,2.67,1.54,65
12,18,Boškovic Tijana,SRB,15,14,22,1.88,1.96,51
13,11,Danesi Anna,ITA,14,17,21,2.33,-5.77,52
14,13,Fahr Sarah Luisa,ITA,14,27,22,2.33,-20.63,63
15,7,Montibeller Rosamaria,BRA,13,12,14,1.86,2.56,39
16,19,Milenkovic Bojana,SRB,11,12,14,1.38,-2.7,37
17,8,Goncharova Nataliya,ROC,10,19,22,1.67,-17.65,51
18,3,Eve Mejia Lisvel Elisa,DOM,10,19,16,2.0,-20.0,45
19,1,Yuan Xinyue,CHN,10,25,23,2.0,-25.86,58
20,13,Park Jeongah,KOR,10,15,22,1.25,-10.64,47
21,10,Fedorovtseva Arina,ROC,9,11,18,1.5,-5.26,38
22,5,Malinov Ofelia,ITA,9,8,20,1.5,2.7,37
23,10,Larson Jordan,USA,9,19,15,1.12,-23.26,43
24,12,Thompson Jordan,USA,9,8,10,2.25,3.7,27
25,16,Rodrigues Fernanda,BRA,9,22,30,1.12,-21.31,61
26,10,Braga Guimaraes Gabriela,BRA,9,18,20,1.12,-19.15,47
27,10,Kim Yeon Koung,KOR,9,13,25,1.12,-8.51,47
28,18,Egonu Paola Ogechi,ITA,8,18,20,1.33,-21.74,46
29,9,Zhang Changning,CHN,8,16,17,1.6,-19.51,41
30,7,Baladin Hande,TUR,8,7,14,1.33,3.45,29
31,16,Voronkova Irina,ROC,7,15,17,1.17,-20.51,39
32,14,Bartsch-Hackley Michelle,USA,7,21,22,0.88,-28.0,50
33,2,Poulter Jordyn,USA,7,22,20,1.0,-30.61,49
34,11,Drews Andrea,USA,7,11,20,1.0,-10.53,38
35,13,Farriol Bianca,ARG,7,16,17,1.4,-22.5,40
36,18,De La Cruz De Peña Bethania,DOM,7,10,8,1.17,-12.0,25
37,11,Araki Erika,JPN,7,18,29,1.4,-20.37,54
38,4,Kim Heejin,KOR,7,15,38,0.88,-13.33,60
39,9,Bosetti Caterina Chiara,ITA,6,20,19,1.0,-31.11,45
40,17,Herrera Rodriguez Candelaria Lucia,ARG,6,9,6,1.5,-14.29,21
41,16,Mercado Erika,ARG,6,11,9,1.2,-19.23,26
42,20,Martinez Brayelin Elizabeth,DOM,6,13,14,1.2,-21.21,33
43,14,Aleksic Maja,SRB,6,7,6,1.2,-5.26,19
44,7,Wang Yuanyuan,CHN,6,10,11,1.5,-14.81,27
45,13,Boz Meryem,TUR,6,13,10,1.2,-24.14,29
46,5,Kiprono Sharon Chepchumba,KEN,6,8,17,1.2,-6.45,31
47,13,Startseva Evgeniya,ROC,5,18,32,0.83,-23.64,55
48,23,Gonzalez Lopez Gaila Ceneida,DOM,5,13,18,0.83,-22.22,36
49,17,Yan Ni,CHN,5,18,13,1.67,-36.11,36
50,5,Shimamura Haruyo,JPN,5,23,45,1.0,-24.66,73
51,9,Mihajlovic Brankica,SRB,4,4,2,1.33,0.0,10
52,10,Ognjenovic Maja,SRB,4,15,30,0.5,-22.45,49
53,14,Rivera Brens Prisilla,DOM,4,12,9,0.67,-32.0,25
54,2,Zhu Ting,CHN,4,10,7,1.33,-28.57,21
55,6,Gong Xiangyu,CHN,4,19,23,0.8,-32.61,46
56,9,Ismailoglu Meliha,TUR,4,8,14,0.67,-15.38,26
57,12,Li Yingying,CHN,4,10,10,0.8,-25.0,24
58,11,Aydemir Akyol Naz,TUR,4,10,5,0.8,-31.58,19
59,2,Koga Sarina,JPN,4,5,9,1.33,-5.56,18
60,1,Kurogo Ai,JPN,4,13,16,0.8,-27.27,33
61,12,Momii Aki,JPN,4,5,16,0.8,-4.0,25
62,19,Mukuvilani Edith,KEN,4,14,11,0.8,-34.48,29
63,12,Emaniman Gladys Ekaru,KEN,4,11,10,0.8,-28.0,25
64,14,Moim Mercy,KEN,4,4,9,0.8,0.0,17
65,13,Kaei Lorine Chebet,KEN,4,9,9,0.8,-22.73,22
66,11,Kim Su Ji,KOR,4,38,29,0.5,-47.89,71
67,12,Pereira Natalia,BRA,4,1,3,0.57,37.5,8
68,7,Folie Raphaela,ITA,3,2,2,1.5,14.29,7
69,10,Chirichella Cristina,ITA,3,11,14,0.75,-28.57,28
70,17,Sylla Miryam Fatime,ITA,3,4,3,0.6,-10.0,10
71,1,Vargas Valdez Annerys Victoria,DOM,3,9,6,0.75,-33.33,18
72,4,Senoglu Tugba,TUR,3,4,4,0.75,-9.09,11
73,4,Ishikawa Mayu,JPN,3,11,17,0.6,-25.81,31
74,3,Yeum Hye Seon,KOR,3,16,22,0.38,-31.71,41
75,14,Pietrini Elena,ITA,2,10,9,0.33,-38.1,21
76,11,Lazcano Julieta Constanza,ARG,2,15,10,0.4,-48.15,27
77,24,Ogbogu Chiaka,USA,2,5,1,1.0,-37.5,8
78,1,Busa Bianka,SRB,2,10,11,0.25,-34.78,23
79,11,Yao Di,CHN,2,11,7,0.4,-45.0,20
80,3,Özbay Cansu,TUR,2,12,7,0.33,-47.62,21
81,99,Karakurt Ebrar,TUR,2,10,11,0.33,-34.78,23
82,12,Lazareva Anna,ROC,1,1,3,0.17,0.0,5
83,25,Smirnova Kseniia,ROC,1,1,0,0.17,0.0,2
84,6,De Gennaro Monica,ITA,1,0,1,0.17,50.0,2
85,26,Enina Ekaterina,ROC,1,4,3,0.25,-37.5,8
86,8,Orro Alessia,ITA,1,6,7,0.17,-35.71,14
87,3,Nizetich Paula Yamila,ARG,1,6,3,0.2,-50.0,10
88,1,Hancock Micha,USA,1,2,7,0.25,-10.0,10
89,4,Bulaich Simian Daniela,ARG,1,11,7,0.2,-52.63,19
90,23,Robinson Kelsey,USA,1,1,1,0.5,0.0,3
91,20,Blagojevic Jelena,SRB,1,5,6,0.17,-33.33,12
92,7,Marte Frica Niverka Dharlenis,DOM,1,12,27,0.17,-27.5,40
93,16,Peña Isabel Yonkaira Paola,DOM,1,8,7,0.17,-43.75,16
94,8,Mirkovic Sladjana,SRB,1,3,2,0.17,-33.33,6
95,16,Ding Xia,CHN,1,7,17,0.33,-24.0,25
96,5,Ercan Seyma,TUR,1,3,7,0.25,-18.18,11
97,18,Chemtai Emmaculate,KEN,1,1,4,0.2,0.0,6
98,4,Kasaya Leonida,KEN,1,7,11,0.2,-31.58,19
99,8,Silva Carneiro Macris Fernanda,BRA,1,14,19,0.17,-38.24,34
100,11,Caixeta Tandara,BRA,1,11,14,0.17,-38.46,26
101,9,Ratzke Roberta Silva,BRA,1,7,8,0.12,-37.5,16
102,8,Park Eunjin,KOR,1,9,6,0.17,-50.0,16
103,19,Podkopaeva Anna,ROC,0,0,0,,,0
104,1,Sorokaite Indre,ITA,0,0,0,,,0
105,5,Matveeva Polina,ROC,0,2,1,0.0,-66.67,3
106,4,Pilipenko Daria,ROC,0,0,0,,,0
107,4,Wong-Orantes Justine,USA,0,0,0,,,0
108,15,Hill Kimberly,USA,0,0,0,,,0
109,15,Fortuna Antonela,ARG,0,0,0,,,0
110,14,Mayer Victoria,ARG,0,9,12,0.0,-42.86,21
111,12,Rizzo Tatiana Soledad,ARG,0,0,1,0.0,0.0,1
112,1,Rodriguez Elina María,ARG,0,2,3,0.0,-40.0,5
113,2,Germanier Sabrina Soledad,ARG,0,0,4,0.0,0.0,4
114,6,Nosach Eugenia,ARG,0,2,3,0.0,-40.0,5
115,17,Popovic Silvija,SRB,0,0,0,,,0
116,5,Castillo Brenda,DOM,0,0,0,,,0
117,6,Dominguez Martinez Camil Inmaculada,DOM,0,0,0,,,0
118,25,Martinez Caro Larysmer,DOM,0,0,0,,,0
119,13,Bjelica Ana,SRB,0,2,2,0.0,-50.0,4
120,19,Liu Yanhan,CHN,0,0,1,0.0,0.0,1
121,18,Wang Mengjie,CHN,0,0,0,,,0
122,2,Akoz Simge Sebnem,TUR,0,0,0,,,0
123,10,Liu Xiaotong,CHN,0,0,0,,,0
124,6,Caliskan Kubra,TUR,0,0,0,,,0
125,15,Hayashi Kotona,JPN,0,3,9,0.0,-25.0,12
126,6,Kobata Mako,JPN,0,0,1,0.0,0.0,1
127,16,Kundu Agripina Khayesi,KEN,0,0,0,,,0
128,1,Wairimu Jane Wacu,KEN,0,7,9,0.0,-43.75,16
129,8,Lusenaka Joy,KEN,0,0,0,,,0
130,3,Tashiro Kanami,JPN,0,3,0,0.0,-100.0,3
131,8,Ishii Yuki,JPN,0,2,5,0.0,-28.57,7
132,9,Okumura Mai,JPN,0,0,2,0.0,0.0,2
133,19,Yamada Nichika,JPN,0,1,0,0.0,-100.0,1
134,10,Murambi Noel,KEN,0,2,0,0.0,-100.0,2
135,15,Jepkirui Pamela,KEN,0,0,0,,,0
136,18,Brait Camila,BRA,0,0,0,,,0
137,7,An Hyejin,KOR,0,1,5,0.0,-16.67,6
138,16,Jeong Jiyun,KOR,0,3,2,0.0,-60.0,5
139,9,Oh Jiyoung,KOR,0,0,0,,,0
140,19,Pyo Seungju,KOR,0,4,2,0.0,-66.67,6
141,1,Lee Soyoung,KOR,0,4,6,0.0,-40.0,10
142,17,Menezes Oliveira de Souza Ana Cristina,BRA,0,0,0,,,0
143,20,Correa Ana Beatriz,BRA,0,2,2,0.0,-50.0,4
